SectionItemGuid	questionnaire_set_name	questionnaire_name	section_name	Number	MainText	HelpText	ChangeType	Comments	VariableName	SectionID	Ordinal	Level	Visible	Type
0c740a88-fe8e-4e0a-a13d-0d63822868d5	Hospital	H1 Sospechosos	H1 Sospechosos	1	SI la PDA está en Hospital de Cuilapa	NULL			NULL	2	1	1	1	Checkpoint
582226b6-236a-44a3-9c1d-2e577d6b5490	Hospital	H1 Sospechosos	H1 Sospechosos	1.1	Anote en que servicio encontró al paciente	Debe indicar en cuál de las 6 salas descritas en las opciones fue ingresado el paciente.			salaIngreso	2	2	2	1	Question
4711fa11-2728-4c38-b03d-7d9f5e0a781f	Hospital	H1 Sospechosos	H1 Sospechosos	2	SI la PDA está en Hospital de Xela	NULL			NULL	2	3	1	1	Checkpoint
e93e6182-dd85-4056-ae19-baa12e9fbc7c	Hospital	H1 Sospechosos	H1 Sospechosos	2.1	Anote en que servicio encontró al paciente	Debe indicar en cuál de las salas descritas en las opciones fue ingresado el paciente.			salaIngreso	2	4	2	1	Question
72355b2c-0177-4414-b055-d8516b1b898f	Hospital	H1 Sospechosos	H1 Sospechosos	3	SI la PDA está en IGSS	NULL			NULL	2	5	1	1	Checkpoint
555b113d-e86d-41b6-9a83-e20aae8e9709	Hospital	H1 Sospechosos	H1 Sospechosos	3.1	Anote en que servicio encontró al paciente	Debe indicar en cuál de las salas descritas en las opciones fue ingresado el paciente.			salaIngreso	2	6	2	1	Question
87c120d9-81df-4e53-a563-63f71c1a67d9	Hospital	H1 Sospechosos	H1 Sospechosos	4	Anote el departamento del paciente	Seleccione del listado el DEPARTAMENTO en donde reside el paciente.			departamento	2	7	1	1	Question
835eb738-d061-4f44-8eb0-20f916089d4e	Hospital	H1 Sospechosos	H1 Sospechosos	5	Anote el municipio del paciente	Seleccione del listado el MUNICIPIO en donde reside el paciente.			municipio	2	8	1	1	Question
1b506ed9-7a4b-4144-8213-0eb619f317f8	Hospital	H1 Sospechosos	H1 Sospechosos	6	Anote los primeros nombres del paciente	Debe ingresar los dos nombres del paciente si los tiene disponibles			nombres	2	9	1	1	Question
2a8e3ca7-ba09-47ae-aef0-5bc526247c31	Hospital	H1 Sospechosos	H1 Sospechosos	7	Anote los apellidos del paciente	Debe ingresar los dos apellidos del paciente si los tiene disponibles.			apellidos	2	10	1	1	Question
0d77c052-5727-4f1d-999f-b032a28ede54	Hospital	H1 Sospechosos	H1 Sospechosos	8	Anote el sexo del paciente	Debe indicacar el SEXO del paciente.			sexo	2	11	1	1	Question
4e63e314-4f2b-4f66-9ae7-66da8e686af8	Hospital	H1 Sospechosos	H1 Sospechosos	9	Si NO se encontró el paciente en la emergencia	NULL			NULL	2	12	1	1	Checkpoint
