SectionItemGuid	SectionID	Ordinal	Level	Type	Number	MainText	GroupMember	GroupText	Condition	BranchIf	VariableName	ScreenTemplate	Arguments	VariableScope	Required	AbsMin	AbsMax	PromptUnder	PromptOver	LegalValueTable	ExternalValidation	ConfirmChange	HideNext	HideBack	ConfirmNext	ConfirmBack	MainTextColor	HelpText	OtherText1	OtherText1Color	OtherText2	OtherText2Color	OtherText3	OtherText3Color	Action1Event	Action1Type	Action1Argument	Action1Target	Action2Event	Action2Type	Action2Argument	Action2Target	Action3Event	Action3Type	Action3Argument	Action3Target	Action4Event	Action4Type	Action4Argument	Action4Target	Action5Event	Action5Type	Action5Argument	Action5Target	Action6Event	Action6Type	Action6Argument	Action6Target	Comment	OnBranch	OnChange	OnLoad	OnUnload	CustomValidation	CustomValidationFailMessage	Visible
0c740a88-fe8e-4e0a-a13d-0d63822868d5	2	1	1	Checkpoint	1	SI la PDA está en Hospital de Cuilapa	NULL	NULL	"CurrentSubject.SiteCode = ""06-1"""	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
582226b6-236a-44a3-9c1d-2e577d6b5490	2	2	2	Question	1.1	Anote en que servicio encontró al paciente	0	NULL	NULL	NULL	salaIngreso	DropDown	NULL	2	1	NULL	NULL	NULL	NULL	LV_SALASR	NULL	0	0	0	0	0	NULL	Debe indicar en cuál de las 6 salas descritas en las opciones fue ingresado el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	CallExternal	NULL	Action.H1.SalaIngreso	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
4711fa11-2728-4c38-b03d-7d9f5e0a781f	2	3	1	Checkpoint	2	SI la PDA está en Hospital de Xela	NULL	NULL	"CurrentSubject.SiteCode = ""09-1"""	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
e93e6182-dd85-4056-ae19-baa12e9fbc7c	2	4	2	Question	2.1	Anote en que servicio encontró al paciente	0	NULL	NULL	NULL	salaIngreso	DropDown	NULL	2	1	NULL	NULL	NULL	NULL	LV_SALAXELA	NULL	0	0	0	0	0	NULL	Debe indicar en cuál de las salas descritas en las opciones fue ingresado el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	CallExternal	NULL	Action.H1.SalaIngreso	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
72355b2c-0177-4414-b055-d8516b1b898f	2	5	1	Checkpoint	3	SI la PDA está en IGSS	NULL	NULL	"CurrentSubject.SiteCode = ""01-1"""	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
555b113d-e86d-41b6-9a83-e20aae8e9709	2	6	2	Question	3.1	Anote en que servicio encontró al paciente	0	NULL	NULL	NULL	salaIngreso	DropDown	NULL	2	1	NULL	NULL	NULL	NULL	LV_SALAIGSS	NULL	0	0	0	0	0	NULL	Debe indicar en cuál de las salas descritas en las opciones fue ingresado el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	CallExternal	NULL	Action.H1.SalaIngreso	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
87c120d9-81df-4e53-a563-63f71c1a67d9	2	7	1	Question	4	Anote el departamento del paciente	1	Dirección del paciente	NULL	NULL	departamento	DropDown	NULL	2	1	NULL	NULL	NULL	NULL	LV_DEPARTAMENTO	NULL	1	0	0	0	0	NULL	Seleccione del listado el DEPARTAMENTO en donde reside el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	Delete	Subject	municipio	Onchange	CallExternal	NULL	Action.Study.Catchment	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	87c120d9-81df-4e53-a563-63f71c1a67d9	NULL	NULL	NULL	NULL	NULL	NULL	1
835eb738-d061-4f44-8eb0-20f916089d4e	2	8	1	Question	5	Anote el municipio del paciente	1	Dirección del paciente	NULL	NULL	municipio	DropDown	filterVariable=departamento	2	1	NULL	NULL	NULL	NULL	LV_MUNICIPIO	NULL	1	0	0	0	0	NULL	Seleccione del listado el MUNICIPIO en donde reside el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	CallExternal	NULL	Action.Study.Catchment	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	835eb738-d061-4f44-8eb0-20f916089d4e	NULL	NULL	NULL	NULL	NULL	NULL	1
1b506ed9-7a4b-4144-8213-0eb619f317f8	2	9	1	Question	6	Anote los primeros nombres del paciente	0	NULL	NULL	NULL	nombres	Name	NULL	2	1	NULL	NULL	NULL	NULL	LV_NOMBRE	NULL	0	0	0	0	0	NULL	Debe ingresar los dos nombres del paciente si los tiene disponibles	NULL	NULL	NULL	NULL	NULL	NULL	OnUnload	CallExternal	NULL	Action.H1.ConcatenateNames	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
2a8e3ca7-ba09-47ae-aef0-5bc526247c31	2	10	1	Question	7	Anote los apellidos del paciente	0	NULL	NULL	NULL	apellidos	Name	NULL	2	1	NULL	NULL	NULL	NULL	LV_APELLIDO	NULL	0	0	0	0	0	NULL	Debe ingresar los dos apellidos del paciente si los tiene disponibles.	NULL	NULL	NULL	NULL	NULL	NULL	OnUnload	CallExternal	NULL	Action.H1.ConcatenateNames	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
